"","topic","term","beta"
"1",1,"white",0.0481653646371947
"2",1,"call",0.0389172127902236
"3",1,"immigrant",0.0374657256992253
"4",1,"people",0.0347326456805517
"5",1,"use",0.0263930582722207
"6",1,"house",0.0261788438923787
"7",1,"camp",0.0239185128499081
"8",1,"hate",0.0197671859026255
"9",1,"racist",0.0176139620500759
"10",1,"medium",0.0174256011298701
"11",1,"black",0.0167829579903441
"12",1,"concentration",0.0165281167453597
"13",1,"liberal",0.0155419919278112
"14",1,"lie",0.0140794247826832
"15",1,"group",0.013964930890009
"16",1,"blame",0.0116824397392789
"17",1,"genocide",0.0100832185932172
"18",1,"anti-immigrant",0.00899367993712439
"19",1,"party",0.00798539501131643
"20",1,"tweet",0.00795954155168033
"21",2,"via",0.0853894265236945
"22",2,"new",0.0720623838498393
"23",2,"deportation",0.0686438681944404
"24",2,"news",0.0395975602282653
"25",2,"report",0.0338348140748338
"26",2,"u.s",0.0313244570060743
"27",2,"ice",0.0284929219005766
"28",2,"protest",0.027861640931815
"29",2,"face",0.0219807603280889
"30",2,"fear",0.0189277231282888
"31",2,"arrest",0.0186582289135544
"32",2,"post",0.0147376418444036
"33",2,"detain",0.0145382899595316
"34",2,"fake",0.0126850557705356
"35",2,"thousand",0.0126813640689639
"36",2,"target",0.0116107706131695
"37",2,"release",0.0110237900632684
"38",2,"airport",0.00997165511533245
"39",2,"across",0.00967631898959605
"40",2,"raid",0.00952865092672784
"41",3,"day",0.0489887812746812
"42",3,"today",0.0378117418837126
"43",3,"caravan",0.0296829859630082
"44",3,"last",0.0194364360318272
"45",3,"join",0.0174228568408469
"46",3,"week",0.016239274247997
"47",3,"next",0.0160494543982004
"48",3,"without",0.0133361471334597
"49",3,"show",0.0112779044484096
"50",3,"meet",0.0109838697791167
"51",3,"march",0.0106749472784672
"52",3,"happy",0.00995288745767204
"53",3,"night",0.00860926067773875
"54",3,"photo",0.00846038236417273
"55",3,"update",0.00783881540503461
"56",3,"close",0.00778670799528651
"57",3,"tomorrow",0.00698276510203003
"58",3,"set",0.00655473995052774
"59",3,"celebrate",0.00635375422721362
"60",3,"#daywithoutimmigrants",0.00610066109415139
"61",4,"dreamer",0.099142243540187
"62",4,"daca",0.0941790704277125
"63",4,"#daca",0.0588075225684921
"64",4,"end",0.0408035048297968
"65",4,"protect",0.0233000953301118
"66",4,"congress",0.021926998445969
"67",4,"dream",0.0197743830182243
"68",4,"act",0.0195526850838054
"69",4,"stand",0.0195491093106696
"70",4,"must",0.0190806830298813
"71",4,"program",0.0177862531547258
"72",4,"support",0.0165812176079651
"73",4,"call",0.0161413975122631
"74",4,"pass",0.0159196995778442
"75",4,"#dreamers",0.0150901202103413
"76",4,"amnesty",0.0136347805440753
"77",4,"deal",0.0135775681739027
"78",4,"decision",0.0125370181913883
"79",4,"recipient",0.0112497398625044
"80",4,"#defenddaca",0.0111818001729244
"81",5,"immigrant",0.130878003943092
"82",5,"work",0.0534408062615821
"83",5,"worker",0.0216215076108772
"84",5,"undocumented",0.021573403077506
"85",5,"speak",0.0198046363889333
"86",5,"school",0.0190164621113894
"87",5,"student",0.0186871310752325
"88",5,"community",0.0171477860073533
"89",5,"high",0.0167999532275922
"90",5,"hard",0.0138396742509014
"91",5,"business",0.0119894998904697
"92",5,"learn",0.0115306566490826
"93",5,"job",0.0113715416540855
"94",5,"economy",0.00986179937597319
"95",5,"service",0.0093955554371444
"96",5,"public",0.00930304671912281
"97",5,"low",0.00916983416517173
"98",5,"numb",0.00849637069797458
"99",5,"without",0.00848897000053285
"100",5,"increase",0.00826694907728105
"101",6,"illegal",0.286227719049856
"102",6,"alien",0.0611144425946893
"103",6,"vote",0.0529384767591135
"104",6,"city",0.0326464944734656
"105",6,"million",0.0286884033341776
"106",6,"criminal",0.0270936209425958
"107",6,"immigrant",0.0255313114956389
"108",6,"sanctuary",0.0221072198901837
"109",6,"democrat",0.0204619240291852
"110",6,"state",0.0147033885156906
"111",6,"california",0.0146167939966906
"112",6,"voter",0.0132998356869002
"113",6,"obama",0.0100489331194449
"114",6,"dems",0.00952936600544535
"115",6,"lose",0.00919381224432066
"116",6,"mayor",0.00913969066994571
"117",6,"election",0.00845415072786301
"118",6,"liberal",0.00831704273944647
"119",6,"ca",0.00765675953207209
"120",6,"win",0.00763871900728044
"121",7,"immigration",0.275369210439764
"122",7,"law",0.0602026218743724
"123",7,"policy",0.0428481303718882
"124",7,"state",0.0298922930049393
"125",7,"break",0.0223720133538628
"126",7,"issue",0.0210695169266323
"127",7,"mass",0.0207202441416767
"128",7,"security",0.0182644198724572
"129",7,"national",0.0154229402365159
"130",7,"session",0.0134473660466104
"131",7,"system",0.0129962220327094
"132",7,"unite",0.0128579682219978
"133",7,"reform",0.0121703374266163
"134",7,"enforcement",0.0103621231128355
"135",7,"legal",0.0102820814329498
"136",7,"enforce",0.00939434643785419
"137",7,"dhs",0.00889590506765705
"138",7,"attorney",0.00803363787979777
"139",7,"base",0.00752064347689415
"140",7,"change",0.00742241050612537
"141",8,"much",0.156466009854449
"142",8,"see",0.0333118307022825
"143",8,"story",0.0260339202745891
"144",8,"read",0.0227934183820303
"145",8,"problem",0.0199268205539974
"146",8,"show",0.0191865660424105
"147",8,"little",0.0191110298677588
"148",8,"fact",0.0159120728712584
"149",8,"immigrant",0.0152246936819277
"150",8,"find",0.0151302734636131
"151",8,"big",0.0145750825799229
"152",8,"check",0.0140916510621519
"153",8,"share",0.0132909676108437
"154",8,"time",0.0105490044709862
"155",8,"many",0.0101939844501231
"156",8,"write",0.00923845184077881
"157",8,"cause",0.00891742309850899
"158",8,"important",0.00867570733962348
"159",8,"far",0.00827914242270194
"160",8,"please",0.00817716858692212
"161",9,"video",0.0342837937316203
"162",9,"rt",0.0291148279282496
"163",9,"de",0.028429692549305
"164",9,"watch",0.026050750261303
"165",9,"la",0.0207866267664122
"166",9,"real",0.0183201394022118
"167",9,"live",0.0172239227959005
"168",9,"en",0.0140837189757378
"169",9,"deportivo",0.0134899349806525
"170",9,"dreamer",0.0115296865353389
"171",9,"win",0.0114992360740525
"172",9,"play",0.0102583797766306
"173",9,"el",0.00947047409084438
"174",9,"vs",0.00934105963037708
"175",9,"y",0.00910506855540728
"176",9,"add",0.00809259071763363
"177",9,"team",0.00791369425757589
"178",9,"listen",0.00762822118301565
"179",9,"lead",0.00620846842553606
"180",9,"al",0.00596486473524466
"181",10,"deport",0.049837140138942
"182",10,"year",0.0436283111045937
"183",10,"woman",0.0381563064582658
"184",10,"child",0.03678740232562
"185",10,"kill",0.0327529276127829
"186",10,"man",0.0298995390513314
"187",10,"crime",0.0285450824557057
"188",10,"rape",0.027223132818375
"189",10,"girl",0.017850293176645
"190",10,"two",0.0173951957605147
"191",10,"murder",0.0163405255580542
"192",10,"gang",0.0158782043734139
"193",10,"member",0.0156651032023688
"194",10,"time",0.0145598666203382
"195",10,"ms-13",0.0145418071990632
"196",10,"old",0.0139928007923029
"197",10,"arrest",0.0134907488808577
"198",10,"commit",0.0124830331737121
"199",10,"victim",0.0112080380316964
"200",10,"death",0.0110563388929864
"201",11,"migrant",0.156876038920743
"202",11,"asylum",0.030786007430744
"203",11,"europe",0.0250103124510113
"204",11,"seeker",0.0249597435143533
"205",11,"germany",0.0193249191438824
"206",11,"police",0.0143980598866244
"207",11,"german",0.0131266123363643
"208",11,"african",0.0126136988359753
"209",11,"attack",0.0102514070806625
"210",11,"italy",0.00993715726000163
"211",11,"libya",0.00981073491835645
"212",11,"arrive",0.00882102858661989
"213",11,"boat",0.00840925295954702
"214",11,"sweden",0.0082503220157645
"215",11,"france",0.00808777900507784
"216",11,"crisis",0.0079035635929663
"217",11,"rescue",0.00710529680714958
"218",11,"merkel",0.00694275379646292
"219",11,"fire",0.00675853838435137
"220",11,"european",0.00675492631744722
"221",12,"like",0.072836748461758
"222",12,"just",0.0613920681684663
"223",12,"good",0.0458008698247497
"224",12,"think",0.0369813493829967
"225",12,"look",0.0325262025810078
"226",12,"get",0.023637694535964
"227",12,"bad",0.0220001466894302
"228",12,"really",0.0192914755286447
"229",12,"make",0.0178863069774062
"230",12,"fuck",0.0173598226365029
"231",12,"even",0.0169350042372912
"232",12,"people",0.016691732162529
"233",12,"yes",0.0166517919711501
"234",12,"feel",0.014484128857224
"235",12,"know",0.0142190712235278
"236",12,"guy",0.01133974651776
"237",12,"oh",0.0108749879271694
"238",12,"sure",0.0104683241604027
"239",12,"okay",0.00994547074598837
"240",12,"talk",0.00994183981949938
"241",13,"country",0.0935408690352012
"242",13,"muslim",0.0899154108840302
"243",13,"refugee",0.0873610271714286
"244",13,"us",0.0283783196866426
"245",13,"terrorist",0.0247344581946028
"246",13,"attack",0.0246534834947797
"247",13,"nation",0.0215285962152425
"248",13,"world",0.0211126807116057
"249",13,"gt",0.0192171366021102
"250",13,"allow",0.015959745268317
"251",13,"stop",0.0155879977827655
"252",13,"christian",0.0134016808875416
"253",13,"visa",0.0133317481922398
"254",13,"enter",0.0118742035954239
"255",13,"terror",0.0116680861776924
"256",13,"islamic",0.0107847258159857
"257",13,"list",0.0106338184208609
"258",13,"isis",0.0102068609127026
"259",13,"migration",0.0102031802445289
"260",13,"threat",0.00992344946332178
"261",14,"trump",0.236328310556181
"262",14,"order",0.0599649202103924
"263",14,"immigration",0.0582663501760467
"264",14,"president",0.055444996559676
"265",14,"obama",0.0280375614292171
"266",14,"via",0.0263138007375824
"267",14,"donald",0.0224740248336697
"268",14,"sign",0.020728672150073
"269",14,"trump's",0.0206207121902629
"270",14,"executive",0.019677861874588
"271",14,"say",0.0184435196674258
"272",14,"new",0.0179864891708963
"273",14,"administration",0.016622595011962
"274",14,"plan",0.0159892299144094
"275",14,"oppose",0.00880269525638331
"276",14,"supporter",0.00865874864330317
"277",14,"expect",0.00785984494070839
"278",14,"promise",0.00770510233164724
"279",14,"statement",0.00744599842810298
"280",14,"defend",0.00708253323007563
"281",15,"ban",0.233281083662095
"282",15,"travel",0.131025672135596
"283",15,"trump's",0.0633881139499447
"284",15,"trump",0.0590404977351953
"285",15,"muslim",0.0470348148496045
"286",15,"court",0.0444940848936481
"287",15,"judge",0.0333657529171102
"288",15,"block",0.0234246169662054
"289",15,"rule",0.0213013625357463
"290",15,"federal",0.0203163812177761
"291",15,"supreme",0.0130627439622602
"292",15,"appeal",0.0123549924854405
"293",15,"case",0.0121625623604066
"294",15,"hawaii",0.00906737272214916
"295",15,"challenge",0.00869555858225311
"296",15,"halt",0.00792257655457449
"297",15,"effect",0.0069408567641472
"298",15,"hear",0.00652338123864988
"299",15,"break",0.00621353612206984
"300",15,"circuit",0.00560363047153861
"301",16,"citizenship",0.0839955222302487
"302",16,"eu",0.0309920670423281
"303",16,"uk",0.0303561882467417
"304",16,"may",0.0275575821522131
"305",16,"say",0.0199492184236269
"306",16,"canada",0.0195425517520309
"307",16,"ask",0.0186922487114212
"308",16,"control",0.0152134001844048
"309",16,"give",0.0145257638124335
"310",16,"government",0.01350170319396
"311",16,"immigration",0.0119859455998296
"312",16,"question",0.0118639455983509
"313",16,"take",0.0107437637665911
"314",16,"canadian",0.010728975887624
"315",16,"fail",0.0104147334595725
"316",16,"brexit",0.0102927334580937
"317",16,"minister",0.0102483698211924
"318",16,"british",0.00991194557469025
"319",16,"apply",0.00982691527062927
"320",16,"status",0.00923909708168603
"321",17,"amp",0.221324695052777
"322",17,"us",0.0808856841254857
"323",17,"want",0.0525650381737312
"324",17,"come",0.0360725579859089
"325",17,"w",0.0330448451142608
"326",17,"keep",0.0322116661422103
"327",17,"tell",0.0281573577514285
"328",17,"u",0.0267811246279521
"329",17,"let",0.018888241687366
"330",17,"r",0.0166974273367509
"331",17,"safe",0.0161022994995719
"332",17,"stay",0.0148971656292845
"333",17,"b",0.0143429528309115
"334",17,"now",0.0127398272195107
"335",17,"many",0.0115756083880293
"336",17,"fight",0.0114119482328051
"337",17,"usa",0.0107387098669964
"338",17,"ppl",0.0101770579706587
"339",17,"n",0.0092657684699784
"340",17,"c",0.00902027823714208
"341",18,"deport",0.11262767000079
"342",18,"get",0.095548379997031
"343",18,"go",0.0793036671912932
"344",18,"need",0.0695583166356347
"345",18,"back",0.0497167976755917
"346",18,"can",0.0441406402905806
"347",18,"family",0.0438526003726794
"348",18,"home",0.0305215221210964
"349",18,"now",0.024901050902562
"350",18,"send",0.023571635896864
"351",18,"help",0.023327909812486
"352",18,"start",0.0195723124213891
"353",18,"stop",0.0182465902351514
"354",18,"come",0.0179142364837269
"355",18,"vet",0.0178403800945214
"356",18,"time",0.0172606074392587
"357",18,"let",0.0129621655875017
"358",18,"already",0.0120020325278309
"359",18,"enough",0.0110566707460012
"360",18,"tell",0.0104104273404536
"361",19,"refugee",0.0733114052959304
"362",19,"right",0.0685688824095789
"363",19,"now",0.045067549824787
"364",19,"leave",0.0357183280965618
"365",19,"life",0.0339035679467328
"366",19,"take",0.021094605974447
"367",19,"put",0.0204154857520577
"368",19,"move",0.0156088237335917
"369",19,"hold",0.0155069557002333
"370",19,"human",0.0151523040285412
"371",19,"detention",0.0148542457087148
"372",19,"force",0.0142958579703058
"373",19,"place",0.0140770303430915
"374",19,"long",0.0137299244516482
"375",19,"live",0.0131904011638611
"376",19,"center",0.0124207315784867
"377",19,"change",0.0122924533142576
"378",19,"save",0.0112134067386836
"379",19,"people",0.0110851284744545
"380",19,"island",0.00909304248877942
"381",20,"say",0.0815638148203442
"382",20,"one",0.0679472310494882
"383",20,"can",0.0588498969287488
"384",20,"good",0.0358748995211581
"385",20,"know",0.0328522606176627
"386",20,"just",0.0245602281025991
"387",20,"never",0.0242513452949426
"388",20,"every",0.0229275618335578
"389",20,"people",0.0224789463271996
"390",20,"want",0.0213647619138673
"391",20,"way",0.0200556871576089
"392",20,"see",0.0181803272539804
"393",20,"love",0.0175772703437939
"394",20,"another",0.016665330625951
"395",20,"thing",0.0158453203151487
"396",20,"nothing",0.0158195800811774
"397",20,"mean",0.0147421674306613
"398",20,"believe",0.0142641345140501
"399",20,"happen",0.0138155190076919
"400",20,"hope",0.0132124620975055
"401",21,"border",0.122133743697604
"402",21,"wall",0.107640873971024
"403",21,"build",0.0481691281482846
"404",21,"pay",0.0384210346161101
"405",21,"tax",0.0247365611406107
"406",21,"mexico",0.0240774632962612
"407",21,"open",0.0223222966610322
"408",21,"fund",0.0217578758550975
"409",21,"patrol",0.0198388451149197
"410",21,"mexican",0.0192926314317572
"411",21,"money",0.0181819969426599
"412",21,"cost",0.0157604496139726
"413",21,"agent",0.0154290799795206
"414",21,"plan",0.0148610177490316
"415",21,"cut",0.0147517750123991
"416",21,"billion",0.0143876325569573
"417",21,"spend",0.0121226664841099
"418",21,"use",0.0101453729510614
"419",21,"house",0.009242299661566
"420",21,"government",0.0090711527075084
"421",22,"make",0.0545072564835278
"422",22,"#maga",0.0412910332537477
"423",22,"support",0.0406786394753623
"424",22,"thank",0.0333069493680479
"425",22,"great",0.0331921255346006
"426",22,"#trump",0.0326830732063178
"427",22,"#buildthewall",0.0325644219117556
"428",22,"america",0.0298584069035151
"429",22,"#immigration",0.0282853203852876
"430",22,"#refugees",0.0280633276406228
"431",22,"late",0.0161331313454521
"432",22,"#muslimban",0.013407979031637
"433",22,"#refugeeswelcome",0.0128759619366647
"434",22,"please",0.0122520857749346
"435",22,"love",0.0113564598740459
"436",22,"welcome",0.0111497769738408
"437",22,"#tcot",0.0095231060000046
"438",22,"proud",0.0091748070385479
"439",22,"daily",0.0090944303551348
"440",22,"#trumptrain",0.00864278994357557
"441",23,"refugee",0.283951255757402
"442",23,"syrian",0.0410286557830137
"443",23,"help",0.0276562854010726
"444",23,"camp",0.0188187704314762
"445",23,"child",0.0187659986462278
"446",23,"war",0.0180518204858663
"447",23,"crisis",0.0172426531120577
"448",23,"flee",0.0155750646982087
"449",23,"welcome",0.01553284727001
"450",23,"zero",0.0152373252726191
"451",23,"rohingya",0.0131862618859651
"452",23,"tolerance",0.0113673943544041
"453",23,"syria",0.0105547088615789
"454",23,"return",0.00991089308154859
"455",23,"aid",0.00956259929890924
"456",23,"world",0.00949575503759462
"457",23,"un",0.00777891295751379
"458",23,"million",0.00742358293684132
"459",23,"bangladesh",0.00677976715681101
"460",23,"india",0.00654757130171811
"461",24,"immigrant",0.170134681953862
"462",24,"american",0.0774663628175077
"463",24,"take",0.0482422217600504
"464",24,"citizen",0.0360041269801326
"465",24,"legal",0.0295279655453409
"466",24,"first",0.0261677629266033
"467",24,"care",0.0252648009894094
"468",24,"us",0.0232775445948476
"469",24,"job",0.0217306671778517
"470",24,"america",0.0214272127563357
"471",24,"free",0.0211015543527576
"472",24,"people",0.0194251537070658
"473",24,"become",0.0186924222990151
"474",24,"give",0.0176525358057714
"475",24,"kid",0.0145217743350092
"476",24,"many",0.0144218564157296
"477",24,"away",0.0135447991242749
"478",24,"turn",0.0118054871960737
"479",24,"hire",0.0116352566669306
"480",24,"want",0.0114502234830795
